Date,Match_Time,Team_1,Team1_Score,Team_2,Team2_Score
21/11/2022 (13:00 GMT),2',England,0,Iran,0
21/11/2022 (13:00 GMT),4',England,0,Iran,0
21/11/2022 (13:00 GMT),4',England,0,Iran,0
21/11/2022 (13:00 GMT),4',England,0,Iran,0
21/11/2022 (13:00 GMT),6',England,0,Iran,0
21/11/2022 (13:00 GMT),8',England,0,Iran,0
21/11/2022 (13:00 GMT),8',England,0,Iran,0
21/11/2022 (13:00 GMT),8',England,0,Iran,0
21/11/2022 (13:00 GMT),10',England,0,Iran,0
21/11/2022 (13:00 GMT),12',England,0,Iran,0
21/11/2022 (13:00 GMT),12',England,0,Iran,0
21/11/2022 (13:00 GMT),14',England,0,Iran,0
21/11/2022 (13:00 GMT),14',England,0,Iran,0
21/11/2022 (13:00 GMT),14',England,0,Iran,0
21/11/2022 (13:00 GMT),16',England,0,Iran,0
21/11/2022 (13:00 GMT),16',England,0,Iran,0
21/11/2022 (13:00 GMT),18',England,0,Iran,0
21/11/2022 (13:00 GMT),18',England,0,Iran,0
21/11/2022 (13:00 GMT),20',England,0,Iran,0
21/11/2022 (13:00 GMT),20',England,0,Iran,0
21/11/2022 (13:00 GMT),23',England,0,Iran,0
21/11/2022 (13:00 GMT),23',England,0,Iran,0
21/11/2022 (13:00 GMT),23',England,0,Iran,0
21/11/2022 (13:00 GMT),25',England,0,Iran,0
21/11/2022 (13:00 GMT),25',England,0,Iran,0
21/11/2022 (13:00 GMT),28',England,0,Iran,0
21/11/2022 (13:00 GMT),28',England,0,Iran,0
21/11/2022 (13:00 GMT),28',England,0,Iran,0
21/11/2022 (13:00 GMT),30',England,0,Iran,0
21/11/2022 (13:00 GMT),32',England,0,Iran,0
21/11/2022 (13:00 GMT),32',England,0,Iran,0
21/11/2022 (13:00 GMT),34',England,0,Iran,0
21/11/2022 (13:00 GMT),34',England,0,Iran,0
21/11/2022 (13:00 GMT),34',England,0,Iran,0
21/11/2022 (13:00 GMT),36',England,1,Iran,0
21/11/2022 (13:00 GMT),36',England,1,Iran,0
21/11/2022 (13:00 GMT),38',England,1,Iran,0
21/11/2022 (13:00 GMT),38',England,1,Iran,0
21/11/2022 (13:00 GMT),40',England,1,Iran,0
21/11/2022 (13:00 GMT),40',England,1,Iran,0
21/11/2022 (13:00 GMT),42',England,1,Iran,0
21/11/2022 (13:00 GMT),44',England,2,Iran,0
21/11/2022 (13:00 GMT),44',England,2,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
21/11/2022 (13:00 GMT),45'+,England,3,Iran,0
